"day","cases"
1,6
2,8
3,12
3,9
4,3
4,3
4,11
6,5
7,7
8,3
8,8
8,4
8,6
12,8
14,3
15,6
17,3
17,2
17,2
18,6
19,3
19,7
20,7
23,2
23,2
23,8
24,3
24,6
25,5
26,7
27,6
28,4
29,4
34,3
36,3
36,5
42,3
42,3
43,3
43,5
44,3
44,5
44,6
44,3
45,3
46,3
48,3
48,2
49,3
49,1
53,3
53,3
53,5
54,4
55,4
56,3
56,5
58,4
60,3
63,5
65,3
67,4
67,2
68,3
71,3
71,1
72,3
72,2
72,5
73,4
74,3
74,0
74,3
75,3
75,4
80,0
81,3
81,3
81,4
81,0
88,2
88,2
90,1
93,1
93,2
94,0
95,2
95,1
95,1
96,0
96,0
97,1
98,1
100,2
101,2
102,1
103,1
104,1
105,1
106,0
107,0
108,0
109,1
110,1
111,0
112,0
113,0
114,0
115,0
